Year,name,value,reactor
2021,Annual Time Online (Hours),8035,BRUNSWICK-2
2021,Electricity Supplied (GWh),7450.71,BRUNSWICK-2
2022,Reference Unit Power (MWe),932,BRUNSWICK-2
2022,Annual Time Online (Hours),8625,BRUNSWICK-2
2022,Electricity Supplied (GWh),7831.71,BRUNSWICK-2
2023,Reference Unit Power (MWe),932,BRUNSWICK-2
2023,Annual Time Online (Hours),8079,BRUNSWICK-2
2023,Electricity Supplied (GWh),7414.54,BRUNSWICK-2
1976,Reference Unit Power (MWe),NA,BRUNSWICK-1
1976,Annual Time Online (Hours),NA,BRUNSWICK-1
1976,Electricity Supplied (GWh),NA,BRUNSWICK-1
1977,Reference Unit Power (MWe),790,BRUNSWICK-1
1977,Annual Time Online (Hours),4949,BRUNSWICK-1
1977,Electricity Supplied (GWh),2984.5,BRUNSWICK-1
1978,Reference Unit Power (MWe),790,BRUNSWICK-1
1978,Annual Time Online (Hours),7624,BRUNSWICK-1
1978,Electricity Supplied (GWh),5122.9,BRUNSWICK-1
1979,Reference Unit Power (MWe),790,BRUNSWICK-1
1979,Annual Time Online (Hours),4778,BRUNSWICK-1
1979,Electricity Supplied (GWh),3169.2,BRUNSWICK-1
1980,Reference Unit Power (MWe),790,BRUNSWICK-1
1980,Annual Time Online (Hours),6045,BRUNSWICK-1
1980,Electricity Supplied (GWh),3939.2,BRUNSWICK-1
1981,Reference Unit Power (MWe),790,BRUNSWICK-1
1981,Annual Time Online (Hours),4155,BRUNSWICK-1
1981,Electricity Supplied (GWh),2574.8,BRUNSWICK-1
1982,Reference Unit Power (MWe),790,BRUNSWICK-1
1982,Annual Time Online (Hours),5428,BRUNSWICK-1
1982,Electricity Supplied (GWh),2935.4,BRUNSWICK-1
1983,Reference Unit Power (MWe),790,BRUNSWICK-1
1983,Annual Time Online (Hours),2116,BRUNSWICK-1
1983,Electricity Supplied (GWh),1419.1,BRUNSWICK-1
1984,Reference Unit Power (MWe),790,BRUNSWICK-1
1984,Annual Time Online (Hours),6797,BRUNSWICK-1
1984,Electricity Supplied (GWh),5037.71,BRUNSWICK-1
1985,Reference Unit Power (MWe),790,BRUNSWICK-1
1985,Annual Time Online (Hours),3247,BRUNSWICK-1
1985,Electricity Supplied (GWh),1942.51,BRUNSWICK-1
1986,Reference Unit Power (MWe),790,BRUNSWICK-1
1986,Annual Time Online (Hours),8068,BRUNSWICK-1
1986,Electricity Supplied (GWh),5973.81,BRUNSWICK-1
1987,Reference Unit Power (MWe),790,BRUNSWICK-1
1987,Annual Time Online (Hours),5651,BRUNSWICK-1
1987,Electricity Supplied (GWh),4057.95,BRUNSWICK-1
1988,Reference Unit Power (MWe),790,BRUNSWICK-1
1988,Annual Time Online (Hours),6514,BRUNSWICK-1
1988,Electricity Supplied (GWh),4458.42,BRUNSWICK-1
1989,Reference Unit Power (MWe),790,BRUNSWICK-1
1989,Annual Time Online (Hours),5568,BRUNSWICK-1
1989,Electricity Supplied (GWh),4193.76,BRUNSWICK-1
1990,Reference Unit Power (MWe),790,BRUNSWICK-1
1990,Annual Time Online (Hours),5909,BRUNSWICK-1
1990,Electricity Supplied (GWh),4340.35,BRUNSWICK-1
1991,Reference Unit Power (MWe),767,BRUNSWICK-1
1991,Annual Time Online (Hours),5849,BRUNSWICK-1
1991,Electricity Supplied (GWh),4400.35,BRUNSWICK-1
1992,Reference Unit Power (MWe),767,BRUNSWICK-1
1992,Annual Time Online (Hours),2486,BRUNSWICK-1
1992,Electricity Supplied (GWh),1874.55,BRUNSWICK-1
1993,Reference Unit Power (MWe),767,BRUNSWICK-1
1993,Annual Time Online (Hours),0,BRUNSWICK-1
1993,Electricity Supplied (GWh),0,BRUNSWICK-1
1994,Reference Unit Power (MWe),767,BRUNSWICK-1
1994,Annual Time Online (Hours),7755,BRUNSWICK-1
1994,Electricity Supplied (GWh),5956.34,BRUNSWICK-1
