Country,Year,Type,TWh,Popn,MWhPerCap
Russian Federation,1997,Coal,157.0224043800118,146673639.00485408,1.070556409763688
Russian Federation,1997,Oil,51.79229110882252,146673639.00485408,0.35311247106310956
Russian Federation,1997,Solar,0,146673639.00485408,0
Russian Federation,1997,Wind,0,146673639.00485408,0
Russian Federation,1997,Hydro,157.434,146673639.00485408,1.073362610133303
Russian Federation,1997,Nuclear,108.498,146673639.00485408,0.7397239254179091
Russian Federation,1997,Biomass/Geo,0.057,146673639.00485408,3.8861788925898005e-4
Russian Federation,1997,SolarPlusWind,0,146673639.00485408,0
Russian Federation,1997,SolarPlusWindPlusBio,0.057,146673639.00485408,3.8861788925898005e-4
Russian Federation,1998,Gas,346.50375199621567,146767931.89574996,2.360895513894269
Russian Federation,1998,Coal,162.97269257034327,146767931.89574996,1.1104107720622762
Russian Federation,1998,Oil,52.94331031238774,146767931.89574996,0.3607280529781781
Russian Federation,1998,Solar,0,146767931.89574996,0
Russian Federation,1998,Wind,0,146767931.89574996,0
Russian Federation,1998,Hydro,158.497,146767931.89574996,1.0799157414889602
Russian Federation,1998,Nuclear,103.71900000000001,146767931.89574996,0.7066870716259201
Russian Federation,1998,Biomass/Geo,0.057999999999999996,146767931.89574996,3.9518169433086855e-4
Russian Federation,1998,SolarPlusWind,0,146767931.89574996,0
Russian Federation,1998,SolarPlusWindPlusBio,0.057999999999999996,146767931.89574996,3.9518169433086855e-4
Russian Federation,1999,Gas,358.63363709294913,146828338.44637194,2.4425369168359663
Russian Federation,1999,Coal,161.34128661392984,146828338.44637194,1.0988429639749595
Russian Federation,1999,Oil,40.90207266028448,146828338.44637194,0.2785706975443551
Russian Federation,1999,Solar,0,146828338.44637194,0
Russian Federation,1999,Wind,0,146828338.44637194,0
Russian Federation,1999,Hydro,160.49200000000002,146828338.44637194,1.0930587494090498
Russian Federation,1999,Nuclear,121.87400000000001,146828338.44637194,0.8300441269688117
Russian Federation,1999,Biomass/Geo,0.057999999999999996,146828338.44637194,3.9501911288864785e-4
Russian Federation,1999,SolarPlusWind,0,146828338.44637194,0
Russian Federation,1999,SolarPlusWindPlusBio,0.057999999999999996,146828338.44637194,3.9501911288864785e-4
Russian Federation,2000,Gas,370.372,146854858.65672004,2.5220275541973147
Russian Federation,2000,Coal,175.615,146854858.65672004,1.1958405844134044
